“ 「
” 」
‘ 『
’ 』
三極管 三極體
三极管 三極體
世界裏 世界裡
中文裏 中文裡
串行 串列
串列加速器 串列加速器
以太网 乙太網
奶酪 乳酪
二極管 二極體
二极管 二極體
交互式 互動式
阿塞拜疆 亞塞拜然
人工智能 人工智慧
接口 介面
服务器 伺服器
字節 位元組
字节 位元組
作品裏 作品裡
信道 信道
优先级 優先順序
元兇 元凶
元凶 元凶
光盘 光碟
光驱 光碟機
克羅地亞 克羅埃西亞
克罗地亚 克羅埃西亞
全角 全形
冬天裏 冬天裡
冬日裏 冬日裡
凉菜 冷盤
冷菜 冷盤
凶器 凶器
兇器 凶器
凶徒 凶徒
兇徒 凶徒
兇手 凶手
凶手 凶手
兇案 凶案
凶案 凶案
凶殘 凶殘
兇殘 凶殘
凶残 凶殘
兇殺 凶殺
凶杀 凶殺
凶殺 凶殺
打印 列印
列支敦士登 列支敦斯登
剪彩 剪綵
加蓬 加彭
总线 匯流排
局域网 區域網
特立尼達和多巴哥 千里達托貝哥
特立尼达和托巴哥 千里達托貝哥
半角 半形
卡塔爾 卡達
卡塔尔 卡達
打印機 印表機
打印机 印表機
厄立特里亚 厄利垂亞
厄立特里亞 厄利垂亞
厄瓜多尔 厄瓜多
厄瓜多爾 厄瓜多
斯威士兰 史瓦濟蘭
斯威士蘭 史瓦濟蘭
吉布提 吉布地
吉布堤 吉布地
基里巴斯 吉里巴斯
圖瓦盧 吐瓦魯
图瓦卢 吐瓦魯
哈萨克斯坦 哈薩克
哥斯達黎加 哥斯大黎加
哥斯达黎加 哥斯大黎加
格魯吉亞 喬治亞
格鲁吉亚 喬治亞
佐治亚 喬治亞
佐治亞 喬治亞
嘴裏 嘴裡
土库曼斯坦 土庫曼
薯仔 土豆
土豆網 土豆網
土豆网 土豆網
坦桑尼亚 坦尚尼亞
坦桑尼亞 坦尚尼亞
端口 埠
塔吉克斯坦 塔吉克
塞舌尔 塞席爾
塞舌爾 塞席爾
塞浦路斯 塞普勒斯
夏天裏 夏天裡
夏日裏 夏日裡
多明尼加共和國 多明尼加
多米尼加共和国 多明尼加
多米尼加共和國 多明尼加
多米尼加国 多米尼克
多明尼加國 多米尼克
穿梭機 太空梭
航天飞机 太空梭
尼日利亚 奈及利亞
尼日利亞 奈及利亞
字符 字元
字号 字型大小
字库 字型檔
字符集 字符集
存盘 存檔
學裏 學裡
安提瓜和巴布達 安地卡及巴布達
安提瓜和巴布达 安地卡及巴布達
宋元 宋元
洪都拉斯 宏都拉斯
寻址 定址
寒假裏 寒假裡
宽带 寬頻
老撾 寮國
老挝 寮國
打门 射門
專輯裏 專輯裡
贊比亞 尚比亞
赞比亚 尚比亞
尼日爾 尼日
尼日尔 尼日
山洞裏 山洞裡
巴布亞新畿內亞 巴布亞紐幾內亞
巴布亚新几内亚 巴布亞紐幾內亞
巴巴多斯 巴貝多
布基纳法索 布吉納法索
布基納法索 布吉納法索
布什 布希
布殊 布希
帕劳 帛琉
例程 常式
平治之乱 平治之亂
平治之亂 平治之亂
年代裏 年代裡
几内亚比绍 幾內亞比索
幾內亞比紹 幾內亞比索
彩带 彩帶
彩排 彩排
彩楼 彩樓
